URN,Description,PlateID,PoleLatitude,PoleLongitude,symbol,pseudoQ,azi,OldAge,YoungAge,border,fill,psuedoQ
48,45 503 -51.3 166 Yangetal(2004) Douposi fm  Guangyuan area,611,-51.3,166,circle,3.4117,0,513,493,black,byPlateId,0.798422392
48,45 503 -51.3 166 Yangetal(2004) Douposi fm  Guangyuan area,611,51.3,-14,circle,3.4117,0,513,493,black,byPlateId,0.798422392
6923,Ainslie Volcanics,1853,66,192,circle,3.028,0,426,423,black,byPlateId,0.733333333
6923,Ainslie Volcanics,1853,-66,12,circle,3.028,0,426,423,black,byPlateId,0.733333333
6924,Ainslie Volcanics,1853,71,173,circle,3.159,0,426,423,black,byPlateId,0.755555556
6924,Ainslie Volcanics,1853,-71,-7,circle,3.159,0,426,423,black,byPlateId,0.755555556
6925,Mill Cove Formation,315,18.3,129.5,circle,3.5651,0,426,423,black,byPlateId,0.824444444
6925,Mill Cove Formation,315,-18.3,-50.5,circle,3.5651,0,426,423,black,byPlateId,0.824444444
6926,Newer Gabbros; Aberdeenshire,313,5.7,152.1,circle,3.9712,0,442,408,black,byPlateId,0.893333333
6926,Newer Gabbros; Aberdeenshire,313,-5.7,-27.9,circle,3.9712,0,442,408,black,byPlateId,0.893333333
6927,Arrochar Complex and aureole,313,8.4,143.9,circle,3.9188,0,435,415,black,byPlateId,0.884444444
6927,Arrochar Complex and aureole,313,-8.4,-36.1,circle,3.9188,0,435,415,black,byPlateId,0.884444444
6928,Ravenswood Batholith and Aureole,1820,-17.5,232.7,circle,3.6699,0,428,422,black,byPlateId,0.842222222
6928,Ravenswood Batholith and Aureole,1820,17.5,52.7,circle,3.6699,0,428,422,black,byPlateId,0.842222222
6929,Mt Leyshon Silurian Dykes,1820,-21.7,231.9,circle,3.5127,0,428,422,black,byPlateId,0.815555556
6929,Mt Leyshon Silurian Dykes,1820,21.7,51.9,circle,3.5127,0,428,422,black,byPlateId,0.815555556
6930,La Ojota formation dyke,2021,6,312,circle,3.683,0,428,423,black,byPlateId,0.844444444
6930,La Ojota formation dyke,2021,-6,132,circle,3.683,0,428,423,black,byPlateId,0.844444444
6931,Rose Hill Formation,101,19,129.1,circle,3.8402,0,428,423,black,byPlateId,0.871111111
6931,Rose Hill Formation,101,-19,-50.9,circle,3.8402,0,428,423,black,byPlateId,0.871111111
6932,Salrock Formation,313,1.6,107.7,circle,4.0367,0,428,423,black,byPlateId,0.904444444
6932,Salrock Formation,313,-1.6,-72.3,circle,4.0367,0,428,423,black,byPlateId,0.904444444
6933,Redbeds; Clare Island,313,27.9,154.3,circle,3.29,0,428,423,black,byPlateId,0.777777778
6933,Redbeds; Clare Island,313,-27.9,-25.7,circle,3.29,0,428,423,black,byPlateId,0.777777778
6934,Duro Porphyry,1853,32.4,76.4,circle,3.4117,0,428,423,black,byPlateId,0.798422392
6934,Duro Porphyry,1853,-32.4,-103.6,circle,3.4117,0,428,423,black,byPlateId,0.798422392
6935,Rose Hill Formation,101,26,116,circle,2.766,0,428,423,black,byPlateId,0.688888889
6935,Rose Hill Formation,101,-26,-64,circle,2.766,0,428,423,black,byPlateId,0.688888889
6936,Knockhaven Group,313,3,323,circle,0.539,0,428,423,black,byPlateId,0.311111111
6936,Knockhaven Group,313,-3,143,circle,0.539,0,428,423,black,byPlateId,0.311111111
6937,Salrock Group,313,23,115,circle,3.29,0,428,423,black,byPlateId,0.777777778
6937,Salrock Group,313,-23,-65,circle,3.29,0,428,423,black,byPlateId,0.777777778
6938,Clinton iron ore,101,34,139,circle,3.028,0,428,423,black,byPlateId,0.733333333
6938,Clinton iron ore,101,-34,-41,circle,3.028,0,428,423,black,byPlateId,0.733333333
6939,Kansu Sediments,5012,39,25,circle,3.421,0,428,423,black,byPlateId,0.8
6939,Kansu Sediments,5012,-39,-155,circle,3.421,0,428,423,black,byPlateId,0.8
6940,Dneister River Sediments,301,4,128,circle,2.242,0,428,423,black,byPlateId,0.6
6940,Dneister River Sediments,301,-4,-52,circle,2.242,0,428,423,black,byPlateId,0.6
6941,South Urals Shales,301,27,168,circle,2.373,0,428,423,black,byPlateId,0.622222222
6941,South Urals Shales,301,-27,-12,circle,2.373,0,428,423,black,byPlateId,0.622222222
6942,Voroninsk Beds,301,32,184,circle,3.29,0,428,423,black,byPlateId,0.777777778
6942,Voroninsk Beds,301,-32,4,circle,3.29,0,428,423,black,byPlateId,0.777777778
6943,Polyakovka Group,301,-2,172,circle,2.242,0,428,423,black,byPlateId,0.6
6943,Polyakovka Group,301,2,-8,circle,2.242,0,428,423,black,byPlateId,0.6
6944,South Mugojary Tuffs and Sediments,301,-4.9,165,circle,3.29,0,428,423,black,byPlateId,0.777777778
6944,South Mugojary Tuffs and Sediments,301,4.9,-15,circle,3.29,0,428,423,black,byPlateId,0.777777778
6945,Gotland Limestones,301,-19,352,circle,3.9319,0,428,423,black,byPlateId,0.886666667
6945,Gotland Limestones,301,19,172,circle,3.9319,0,428,423,black,byPlateId,0.886666667
6946,North Caucasus Sediments,301,30,159,circle,3.814,0,428,423,black,byPlateId,0.866666667
6946,North Caucasus Sediments,301,-30,-21,circle,3.814,0,428,423,black,byPlateId,0.866666667
6947,Rosales Horizon; Sierra Grande Formation,291,-3.4,58,circle,3.028,0,428,423,black,byPlateId,0.733333333
6947,Rosales Horizon; Sierra Grande Formation,291,3.4,-122,circle,3.028,0,428,423,black,byPlateId,0.733333333
6948,Big Indian Pond Formation; site 10,101,12.9,163.1,circle,3.6175,0,428,423,black,byPlateId,0.833333333
6948,Big Indian Pond Formation; site 10,101,-12.9,-16.9,circle,3.6175,0,428,423,black,byPlateId,0.833333333
6949,Ross of Mull Granite Complex,303,-1.1,12,circle,3.8664,0,429,423,black,byPlateId,0.875555556
6949,Ross of Mull Granite Complex,303,1.1,-168,circle,3.8664,0,429,423,black,byPlateId,0.875555556
