URN,label,PlateID,Latitude,Longitude,SymbolorNumber,Size,Azimuth,Start,End,Border color,Fill color,alpha
176,Australia,801,-21.5,135,label,1,0,0,-250,black,none,1
177,East Antarctic craton,802,-80.5,84,label,1,0,83,-250,black,none,1
178,Palmer Peninsula,803,-68.5,-65,label,1,0,1100,-250,black,none,1
179,Marie Byrdland,804,-75.5,-119,label,1,0,0,-250,black,none,1
180,Ellsworth block,805,-78.5,-90,label,1,0,1100,-250,black,none,1
181,North New Zealand,806,-37.5,174,label,1,0,1100,-250,black,none,1
182,South New Zealand,807,-45.5,168,label,1,0,1100,-250,black,none,1
183,Gulf of Papua,808,-9.5,147,label,1,0,1100,-250,black,none,1
184,Rennell Ridge,809,-8.5,156,label,1,0,1100,-250,black,none,1
185,N. Coral Sea,810,-11.5,153,label,1,0,1100,-250,black,none,1
186,South Shetland Islands,811,-60.5,-59,label,1,0,1100,-250,black,none,1
187,South Orkney Islands,812,-59.5,-44,label,1,0,1100,-250,black,none,1
188,Chatham Rise,813,-41.5,178,label,1,0,1100,-250,black,none,1
189,Campbell Plateau,814,-48.5,172,label,1,0,1100,-250,black,none,1
190,South Fiji Basin,815,-25.5,175,label,1,0,1100,-250,black,none,1
191,Balleny Island,816,-70.5,-178,label,1,0,1100,-250,black,none,1
192,Solomon Sea,817,-8.5,153,label,1,0,1100,-250,black,none,1
193,Solomon Basin,818,-5.5,152,label,1,0,1100,-250,black,none,1
194,Melanesian Basin,819,-10.5,170,label,1,0,1100,-250,black,none,1
195,Wharton Basin,820,-15.5,96,label,1,0,1100,-250,black,none,1
196,Lord Howe Rise Stretched crust,821,-30.5,158,label,1,0,1100,-250,black,none,1
197,S. Coral Sea,822,-13.5,153,label,1,0,1100,-250,black,none,1
198,Lord Howe Rise transitional crust,823,-38.5,159,label,1,0,1100,-250,black,none,1
199,New Hebrides Basin,824,-12.5,160,label,1,0,1100,-250,black,none,1
200,West Fiji Basin,825,-15.5,172,label,1,0,1100,-250,black,none,1
201,Coral Sea Plateau,826,-15.5,149,label,1,0,1100,-250,black,none,1
202,Lord Howe Rise,833,-29.5,161,label,1,0,1100,-250,black,none,1
203,Norfolk Ridge,834,-25.5,166.5,label,1,0,1100,-250,black,none,1
204,Marion Reef,840,-17.5,155,label,1,0,1100,-250,black,none,1
205,E. Fiji Basin,846,-15.5,177,label,1,0,1100,-250,black,none,1
206,East Fiji - Lau Basin,847,-21.5,-178,label,1,0,1100,-250,black,none,1
207,Tonga - Kermadec,848,-24.5,-177,label,1,0,1100,-250,black,none,1
208,S. Australian transitional crust,870,-33.5,130,label,1,0,1100,-250,black,none,1
209,Tasman Rise,871,-45.5,147,label,1,0,1100,-250,black,none,1
210,Naturaliste Plateau,872,-24.5,111,label,1,0,1100,-250,black,none,1
211,northern West Australian basin,873,-17.5,107,label,1,0,1100,-250,black,none,1
212,Timor Sea,875,-13.5,120,label,1,0,1100,-250,black,none,1
213,southern West Australian basin,876,-16.5,111,label,1,0,1100,-250,black,none,1
214,NE corner of Indian Ocean,877,-12.5,116,label,1,0,1100,-250,black,none,1
215,Broken Ridge,888,-28.5,96,label,1,0,1100,-250,black,none,1
216,Berkner Island,895,-76.5,-52,label,1,0,1100,-250,black,none,1
217,Sentinel Range,896,-74.5,-84,label,1,0,1100,-250,black,none,1
218,Trans-Antarctic Range,897,-82.5,-121,label,1,0,1100,-250,black,none,1
219,Pacific Plate,901,7.5,-160,label,1,0,1100,-250,black,none,1
220,Nazca plate,902,-18.5,-92,label,1,0,1100,-250,black,none,1
221,Aluk Plate,904,-62.5,-81,label,1,0,1100,-250,black,none,1
222,Cape Basin ridge jump,905,-44.5,11,label,1,0,59,0,black,none,1
223,Iceland,907,67.5,-6,label,1,0,1100,-250,black,none,1
224,W. Jan Mayen plate,908,69.5,-9,label,1,0,1100,-250,black,none,1
225,Cocos plate,909,9.5,-96,label,1,0,1100,-250,black,none,1
226,Juan de Fuca plate,910,47.5,-127,label,1,0,1100,-250,black,none,1
227,N. Scotia Sea,912,-54.5,-60,label,1,0,1100,-250,black,none,1
228,S. Scotia Sea,913,-57.5,-50,label,1,0,1100,-250,black,none,1
229,South Georgia Island,930,-53.5,-41,label,1,0,1100,-250,black,none,1
230,W. Scotia Sea,931,-56.5,-37,label,1,0,1100,-250,black,none,1
231,E. Scotia Sea,932,-55.5,-26,label,1,0,1100,-250,black,none,1
232,Easter Island/ Juan Fernandez,940,-23.5,-114,label,1,0,1100,-250,black,none,1
233,remanent of Phoenix,944,-58.5,-62,label,1,0,1100,-250,black,none,1
234,North Kerguelen Island,985,-50.5,74,label,1,0,1100,-250,black,none,1
235,South Kerguelen Island,992,-54.5,70,label,1,0,1100,-250,black,none,1
