9999 9999,GPML,nolabel,none,black,byPlateId,1,0
 101 4500.0   -inf UN   0   0   0     0
 -12.3950  -42.0102 2
 -12.5502  -41.9044 2
 -12.7451  -41.7927 2
 -12.9303  -41.6833 2
 -13.2005  -41.5083 2
 -13.4055  -41.3798 2
 -13.5869  -41.2532 2
 -13.6900  -41.1762 2
 -13.7931  -41.0993 2
 -13.8783  -40.9876 2
 -13.9381  -40.9188 2
 -13.8980  -40.8246 2
 -14.0394  -40.8524 2
 -14.0916  -40.7670 2
 -14.1613  -40.6595 2
 -14.2743  -40.4918 2
 -14.3744  -40.3873 2
 -14.4510  -40.3003 2
 -14.4838  -40.2384 2
 -14.5401  -40.1194 2
 -14.5496  -40.0599 2
 -14.5641  -39.9714 2
 -14.8183  -39.9775 2
 -15.0385  -40.3070 2
 -15.0715  -40.5975 2
 -15.1005  -40.8712 2
 -15.1114  -41.1100 2
 -15.1149  -41.4108 2
 -15.1231  -41.6394 2
 -15.1352  -41.8707 2
 -15.1368  -42.1503 2
 -15.1375  -42.3946 2
 -15.1311  -42.6227 2
 -15.1434  -42.8430 2
 -15.1619  -43.0937 2
 -15.2010  -43.3786 2
 -15.2192  -43.5974 2
 -15.2314  -43.8209 2
 -15.2362  -44.0921 2
 -15.2323  -44.3226 2
 -15.2298  -44.5774 2
 -15.2479  -44.8171 2
 -15.2657  -45.0566 2
 -15.2735  -45.2807 2
 -15.2856  -45.5108 2
 -15.2994  -45.8356 2
 -15.3095  -46.1434 2
 -15.3257  -46.4497 2
 -15.3240  -46.7702 2
 -15.3304  -47.1520 2
 -15.3716  -47.5912 2
 -15.4065  -48.1209 2
 -15.4543  -48.4917 2
 -15.5281  -49.0465 2
 -15.5664  -49.4846 2
 -15.6620  -49.9499 2
 -15.7179  -50.3599 2
 -15.7607  -50.8864 2
 -15.8166  -51.4796 2
 -15.9046  -52.1320 2
 -15.9674  -52.6766 2
 -15.6953  -52.7408 2
 -15.4437  -52.7872 2
 -15.1892  -52.8519 2
 -14.9229  -52.9123 2
 -14.5750  -52.9794 2
 -14.2654  -53.0365 2
 -13.9948  -53.0745 2
 -13.7305  -53.1241 2
 -13.5138  -53.1607 2
 -13.3232  -53.1859 2
 -13.0814  -53.1989 2
 -12.8472  -53.2053 2
 -12.6152  -53.2426 2
 -12.3113  -53.2543 2
 -12.0217  -53.2616 2
 -11.7852  -53.2791 2
 -11.6252  -53.2836 2
 -11.4620  -53.2838 2
 -11.2635  -53.2968 2
 -11.0974  -53.2902 2
 -10.9437  -53.2876 2
 -10.7274  -53.2989 2
 -10.4898  -53.3044 2
 -10.3063  -53.3141 2
 -10.1013  -53.3429 2
  -9.9044  -53.3753 2
  -9.7251  -53.3999 2
  -9.5696  -53.4207 2
  -9.3475  -53.4528 2
  -9.0189  -53.4999 2
  -8.7346  -53.5543 2
  -8.4817  -53.6064 2
  -8.3287  -53.6144 2
  -8.1151  -53.6048 2
  -7.8495  -53.6051 2
  -7.5092  -53.5752 2
  -7.2289  -53.5310 2
  -7.0742  -53.4746 2
  -6.8715  -53.3648 2
  -6.6461  -53.2043 2
  -6.4874  -53.0728 2
  -6.3534  -52.9571 2
  -6.1310  -52.7068 2
  -5.9416  -52.5038 2
  -5.7334  -52.2912 2
  -5.5977  -52.1453 2
  -5.4802  -52.0487 2
  -5.3713  -51.9661 2
  -5.2442  -51.8763 2
  -5.0949  -51.7785 2
  -4.9011  -51.6421 2
  -4.7767  -51.5496 2
  -4.6493  -51.4437 2
  -4.4622  -51.2913 2
  -4.3031  -51.1724 2
  -4.1626  -51.0284 2
  -4.0208  -50.8384 2
  -3.8480  -50.6113 2
  -3.7719  -50.3343 2
  -4.0738  -50.0035 2
  -4.3510  -49.7884 2
  -4.6862  -49.5279 2
  -4.8831  -49.3664 2
  -5.1550  -49.1561 2
  -5.4500  -48.9318 2
  -5.6412  -48.8112 2
  -5.8767  -48.6780 2
  -6.0083  -48.5944 2
  -6.2752  -48.4435 2
