plateid: 826 826, plat: -22.87, plon: -152.5, pang: 27.4, refplate: 0
plateid: 829 829, plat: -0.33, plon: -119.68, pang: 25.44, refplate: 0
plateid: 830 830, plat: -0.33, plon: -119.68, pang: 25.44, refplate: 0
plateid: 833 833, plat: -22.83, plon: -151.68, pang: 27.13, refplate: 0
plateid: 834 834, plat: -22.83, plon: -151.68, pang: 27.13, refplate: 0
plateid: 840 840, plat: -22.87, plon: -152.5, pang: 27.4, refplate: 0
plateid: 846 846, plat: -0.33, plon: -119.68, pang: 25.44, refplate: 0
plateid: 847 847, plat: -22.83, plon: -151.68, pang: 27.13, refplate: 0
plateid: 848 848, plat: -22.83, plon: -151.68, pang: 27.13, refplate: 0
plateid: 870 870, plat: -22.87, plon: -152.5, pang: 27.4, refplate: 0
plateid: 871 871, plat: -22.87, plon: -152.5, pang: 27.4, refplate: 0
plateid: 872 872, plat: -22.87, plon: -152.5, pang: 27.4, refplate: 0
plateid: 873 873, plat: -22.87, plon: -152.5, pang: 27.4, refplate: 0
plateid: 875 875, plat: -22.87, plon: -152.5, pang: 27.4, refplate: 0
plateid: 876 876, plat: -22.87, plon: -152.5, pang: 27.4, refplate: 0
plateid: 877 877, plat: -22.87, plon: -152.5, pang: 27.4, refplate: 0
plateid: 888 888, plat: -22.87, plon: -152.5, pang: 27.4, refplate: 0
plateid: 895 895, plat: -77.44, plon: 169.59, pang: 5.22, refplate: 0
plateid: 896 896, plat: -69.68, plon: -179.75, pang: 5.5, refplate: 0
plateid: 897 897, plat: -69.68, plon: -179.75, pang: 5.5, refplate: 0
plateid: 901 901, plat: 68.86, plon: -74.42, pang: 27.33, refplate: 0
plateid: 902 902, plat: -63.66, plon: 40.82, pang: 32.85, refplate: 0
plateid: 903 903, plat: -66.6, plon: -34.64, pang: 28.98, refplate: 0
plateid: 904 904, plat: -77.44, plon: 169.59, pang: 5.22, refplate: 0
plateid: 905 905, plat: 33.0, plon: -40.8, pang: -12.02, refplate: 0
plateid: 906 906, plat: -78.36, plon: -163.7, pang: 6.93, refplate: 0
plateid: 907 907, plat: -62.23, plon: 155.13, pang: 39.44, refplate: 0
plateid: 908 908, plat: -61.0, plon: 153.07, pang: 41.1, refplate: 0
plateid: 909 909, plat: -22.42, plon: -18.7, pang: 20.93, refplate: 0
plateid: 910 910, plat: 68.86, plon: -74.42, pang: 27.33, refplate: 0
plateid: 912 912, plat: 76.33, plon: 44.26, pang: 10.93, refplate: 0
plateid: 913 913, plat: 76.33, plon: 44.26, pang: 10.93, refplate: 0
plateid: 930 930, plat: 76.33, plon: 44.26, pang: 10.93, refplate: 0
plateid: 931 931, plat: 76.33, plon: 44.26, pang: 10.93, refplate: 0
plateid: 932 932, plat: 76.33, plon: 44.26, pang: 10.93, refplate: 0
plateid: 940 940, plat: 68.86, plon: -74.42, pang: 27.33, refplate: 0
plateid: 944 944, plat: -77.44, plon: 169.59, pang: 5.22, refplate: 0
plateid: 985 985, plat: -77.44, plon: 169.59, pang: 5.22, refplate: 0
plateid: 992 992, plat: -77.44, plon: 169.59, pang: 5.22, refplate: 0
